entry,DEtall01,lep_flavour,max_eta,minDeltaR_LJ_0,minDeltaR_LJ_1,Meff,DRlj00,min_DRl0b,min_DRlj_new,DPhij0MET,lead_BjetPt,lead_jet_sumBEff,sublead_jet_sumBEff,scale_nom,pileupEventWeight_090,MV2c10_70_EventWeight,JVT_EventWeight,SherpaNJetWeight,EventNumber,RunYear,MET_RefFinal_et,lep_Pt_0,lep_Eta_0,lep_Phi_0,lep_Pt_1,lep_Eta_1,lep_Phi_1,total_charge,Mll01,Ptll01,DRll01,nJets_OR_T,nJets_OR_T_MV2c10_70,HT_lep,HT_jets,lead_jetPt,sublead_jetPt,lepSFTrigTight,lepSFObjTight,weightS
762,-0.48536658,1,0.8153938,1.2699213,0.91619563,1285928.8,2.9561887,1.8637396,0.68701386,2.8908691,59575.71,0.0,0.0,8.055111e-08,0.9969019889831543,1.0077836513519287,0.9754972457885742,1.0,9372711,2017,50962.395,155642.0,0.33002722,2.411416,81730.57,0.8153938,0.2237744,2,207880.88,127229.53,2.2408383,6,1,237372.56,368419.56,122202.766,65606.66,0.7945521,0.97026914,0.0026665017646893665
763,-0.98198295,3,1.5208414,0.7266018,0.49675748,638847.94,2.6927838,0.7266018,0.1348941,1.8469859,54982.145,0.0,3.0,8.055111e-08,1.1141347885131836,0.9703724384307861,0.9581681489944458,1.0,9372946,2017,90616.27,53715.1,-1.5208414,2.2402127,39670.977,-0.5388584,-0.3283445,-2,100341.14,29631.59,2.7498684,4,2,93386.08,205584.3,59005.25,54982.145,0.981584,0.95605373,0.003430908686283523
764,0.23385358,3,0.7630606,0.2923692,0.9459846,944515.06,2.1069157,2.1069157,0.64639175,1.8717692,96793.26,4.0,0.0,8.055111e-08,1.1583366394042969,0.9895081520080566,0.9810959100723267,1.0,9618355,2017,113956.13,185790.02,0.7630606,0.45475665,36871.29,0.52920705,2.1223989,2,124104.14,185883.42,1.683959,4,1,222661.31,221900.39,96793.26,53197.137,0.9443028,0.9478538,0.003552218993866392
765,3.275318,2,1.709507,1.1877222,0.84597564,1487588.5,1.9323081,1.8922031,0.9055569,0.7720361,142102.3,1.0,0.0,-8.055111e-08,1.1195427179336548,0.9365643858909607,0.948186457157135,1.0,9618690,2017,44868.27,39893.105,1.709507,-0.9149261,21467.725,-1.5658109,3.0175936,2,154565.16,29118.47,4.031543,5,1,61360.83,663909.1,198283.19,170080.56,0.88547933,0.9057378,-0.0028140671039886696
766,2.3060763,1,1.5159494,2.1439214,1.086656,1246955.9,2.2075965,2.2075965,1.322854,2.5920546,162296.22,4.0,0.0,1.4010875e-07,0.2879679501056671,1.010514259338379,0.9899280071258545,1.0,9618374,2017,106306.086,73758.29,0.79012686,-2.3522015,22901.4,-1.5159494,-3.02278,-2,120300.94,92798.484,2.4015958,5,1,96659.69,437798.2,162296.22,92061.64,0.9235145,0.94357294,0.0015409359926858515
767,3.5641642,1,1.8234324,1.5110953,1.4946245,1145582.9,2.698364,3.2008681,0.27722982,1.2532457,71305.14,0.0,4.0,8.055111e-08,0.9292294979095459,1.0149482488632202,1.2153382301330566,1.0,9617735,2017,126488.03,72640.46,1.8234324,1.6297468,72591.97,-1.7407316,-1.9889759,-2,442392.38,34319.695,4.450014,4,2,145232.44,322275.62,131569.36,71305.14,1.0036914,0.9474863,0.003846968743658762
768,1.6976495,1,1.3522295,1.3082365,1.2584344,482025.7,2.3772907,2.3772907,0.7505917,0.7133003,59568.625,4.0,0.0,8.055111e-08,0.6369129419326782,0.9690305590629578,0.9230330586433411,1.0,9617876,2017,25719.086,44903.08,0.34542006,-1.974172,24261.31,-1.3522295,-1.9532814,-2,63012.113,69160.95,1.6977781,4,1,69164.39,177224.98,59568.625,52824.004,0.98079294,0.9553592,0.0018839106275220488
769,0.40948826,3,0.98902035,0.9313497,0.6393338,2518093.0,1.7504008,1.7504008,0.8805952,0.9779138,249442.27,4.0,0.0,9.7232544e-08,0.9369446635246277,0.8990280628204346,0.9899280071258545,1.0,9618647,2017,44291.418,168883.78,0.98902035,0.061147287,76005.23,0.5795321,-3.0893862,2,231356.52,92884.08,3.1593018,6,1,244889.0,966697.44,249442.27,246603.75,0.9313672,0.96407783,0.0031896675774934382
770,1.9845152,1,2.1055565,1.7820688,1.2069198,790258.25,2.5807343,1.9403918,1.514654,2.5317957,41643.863,0.0,0.0,-8.055111e-08,1.1141347885131836,0.9981923699378967,0.9536283016204834,1.0,9618997,2017,153707.34,67346.97,-0.12104127,-0.26287743,42257.53,-2.1055565,1.8518816,2,155056.12,58100.035,2.9000874,4,1,109604.5,279641.56,142724.81,67370.77,0.9705079,0.9643937,-0.003503208718887691
771,0.25111854,3,1.0480111,0.44947058,1.0772401,1282252.4,4.040825,2.6009421,0.8261196,1.2999468,79267.45,0.0,0.0,1.5341648e-07,0.8507495522499084,1.0010920763015747,0.9688050746917725,1.0,9618574,2017,10808.58,136010.4,1.0480111,2.1521218,74719.32,0.7968925,1.1984165,-2,95958.35,189323.27,0.98621213,6,1,210729.72,419318.56,119591.03,88680.414,0.8628044,0.95930254,0.004590521810525281
772,-2.5435941,3,2.1839957,0.9250173,0.46574983,2039349.9,3.2568085,0.9250173,1.8748015,1.9806261,159116.0,0.0,3.0,2.4680674e-07,1.0815887451171875,1.2939502000808716,0.9633309841156006,1.0,9619238,2017,123789.07,122174.19,-0.35959846,1.4130933,27483.416,2.1839957,-2.4388926,2,219279.8,102911.57,3.5186079,6,2,149657.61,836517.06,433752.66,159116.0,0.98770356,0.94592506,0.013620891617539087
773,-1.369939,2,1.6870159,1.5302733,0.9384312,1023784.0,3.2324233,2.6649265,1.0109236,0.099889964,171913.75,4.0,0.0,8.055111e-08,0.8589850664138794,1.0245171785354614,0.9910780191421509,1.0,9617718,2017,61364.973,45544.133,-1.6870159,2.3927915,39937.977,-0.3170769,0.028295554,2,101062.44,32797.473,2.7326863,4,2,85482.11,419269.66,171913.75,127849.53,0.9732824,0.9801707,0.002936532166374201
774,1.8774593,0,1.2344947,0.99897724,1.2464682,1237451.2,0.99897724,2.5410173,0.62766886,2.7949605,128830.24,0.0,3.0,1.2656861e-07,0.8235889077186584,1.0017508268356323,0.9302618503570557,1.0,9618053,2017,51683.94,35110.773,0.64296466,1.4456142,26406.256,-1.2344947,-2.1311193,2,88791.59,15766.054,3.2938936,6,1,61517.03,542436.5,178621.55,128830.24,0.9819443,0.90352625,0.0037760608132550943
775,-0.056543127,1,0.18206435,0.6985873,1.0639282,1567509.5,2.6380925,0.7117805,0.43180752,1.8243678,91962.086,1.0,0.0,1.0462738e-07,1.0269538164138794,0.9717305302619934,0.9570563435554504,1.0,9619054,2017,68832.45,46584.812,-0.18206435,-1.7118734,45479.13,-0.12552123,1.8355379,-2,90206.38,18584.293,2.7363582,8,2,92063.94,673353.3,185150.31,95827.85,0.970893,0.9721928,0.004132504636677036
776,2.657873,3,2.0955791,3.6457458,1.1165702,2093603.4,4.2474394,3.6457458,1.711576,1.1710252,123941.67,0.0,4.0,8.055111e-08,1.1563247442245483,1.0112098455429077,0.9536283016204834,1.0,9620211,2017,177159.55,514720.94,2.0955791,-0.6902092,183707.92,-0.5622938,-2.931199,-2,1213695.4,425698.0,3.4765391,4,2,698428.9,346108.6,145495.98,123941.67,0.98843604,0.9669238,0.0037611661174083567
777,-0.95692444,1,0.79213583,1.1488413,0.5746286,2103566.5,3.2200055,1.3592263,0.8352855,3.097271,34405.95,1.0,0.0,1.2845712e-07,1.0217499732971191,0.9128831624984741,0.9842789769172668,1.0,9620161,2017,224659.98,187855.98,-0.79213583,1.0760914,106498.61,0.1647886,-2.3749435,2,312868.12,92301.07,2.9894447,7,1,294354.6,750194.56,286305.0,138129.19,0.9647712,0.97085994,0.004839796053824917
778,-2.6067681,1,1.9643648,0.62035036,2.2608418,771381.1,2.5520136,0.62035036,0.6446162,2.1003716,102072.73,4.0,0.0,8.681639e-08,1.080404281616211,1.0100692510604858,0.9313424825668335,1.0,9619601,2017,82905.84,96773.164,-0.6424034,-0.30201784,39616.4,1.9643648,-2.4495368,2,237553.61,82179.766,3.3774366,5,3,136389.56,271660.84,102072.73,53971.75,0.9732769,0.9599801,0.0036120783658388296
779,1.6099252,2,1.0495363,0.79494065,2.2129796,900931.9,1.983496,0.79494065,0.82397443,1.3024007,68092.445,0.0,4.0,-8.055111e-08,1.1261320114135742,1.015112280845642,0.9590473175048828,1.0,9620408,2017,36357.816,113802.12,0.5603888,0.80364686,34069.24,-1.0495363,-2.9256015,-2,163167.81,87510.99,3.0190153,5,3,147871.36,295158.56,90217.36,68092.445,0.90104085,0.94283074,-0.0032870257041898443
780,-0.6311059,3,2.2912982,1.4131701,1.5619214,812976.9,3.15721,1.4131701,1.1892878,2.4940858,28686.35,2.0,0.0,8.055111e-08,0.9489719867706299,1.4336848258972168,0.9536283016204834,1.0,9620808,2017,172976.3,43930.14,-2.2912982,-1.5880243,29378.229,-1.6601923,-0.17833078,2,51947.3,56630.17,1.5445162,4,1,73308.37,324308.16,208070.23,49105.74,0.9946814,0.94844455,0.004319799837826344
