entry,DEtall01,lep_flavour,max_eta,minDeltaR_LJ_0,minDeltaR_LJ_1,Meff,DRlj00,min_DRl0b,min_DRlj_new,DPhij0MET,lead_BjetPt,lead_jet_sumBEff,sublead_jet_sumBEff,scale_nom,pileupEventWeight_090,MV2c10_70_EventWeight,JVT_EventWeight,SherpaNJetWeight,EventNumber,RunYear,MET_RefFinal_et,lep_Pt_0,lep_Eta_0,lep_Phi_0,lep_Pt_1,lep_Eta_1,lep_Phi_1,total_charge,Mll01,Ptll01,DRll01,nJets_OR_T,nJets_OR_T_MV2c10_70,HT_lep,HT_jets,lead_jetPt,sublead_jetPt,lepSFTrigTight,lepSFObjTight,weightS
3144,0.2890182,3,1.2108102,0.4940625,0.9466467,1140656.1,3.0538626,1.6761901,0.22507694,2.3878312,125074.625,4.0,2.0,4.520901e-08,0.9113680124282837,0.9670332074165344,0.9688050746917725,1.0,293820,2016,135963.9,76381.125,-0.921792,-2.2399817,36438.863,-1.2108102,-1.61568,-2,35835.125,108066.43,0.68795645,7,2,112819.984,484874.5,125074.625,117230.04,0.9888851,0.9640831,0.001327572929903297
3145,1.6899635,1,2.3757758,1.4591767,0.81661886,1651926.0,2.6579037,2.0488906,1.2945005,1.7615225,72696.87,0.0,0.0,4.520901e-08,0.8959327340126038,0.9984654188156128,1.1400426626205444,1.0,293659,2016,38978.742,189269.31,-0.68581235,-2.0231907,35216.742,-2.3757758,-0.53379434,-2,190441.56,195312.64,2.252616,5,1,224486.06,590631.25,205992.9,194690.98,0.9867829,0.9565617,0.001569967476853042
3146,-0.35899085,0,0.50628096,1.6181432,0.7315149,856350.0,1.9496839,1.7598557,0.92872155,0.2206146,92108.375,4.0,0.0,4.4758735e-08,1.0375779867172241,1.0503122806549072,0.9754972457885742,1.0,295735,2016,70797.61,66614.75,0.14729011,2.8544683,58172.277,0.50628096,-1.620251,2,100398.03,77439.195,1.8437525,4,2,124787.03,257435.47,92108.375,73582.76,0.9981316,0.9621578,0.001648460951174087
3147,0.7780182,0,1.581068,1.1739343,0.49158874,704869.1,1.1739343,1.2195776,0.72545695,2.4372702,50051.77,1.0,1.0,4.520901e-08,0.8959327340126038,0.9992595911026001,0.9667938351631165,1.0,294595,2016,71381.34,51415.336,-0.80304986,-0.19742535,39803.527,-1.581068,-2.423921,2,88832.07,41620.727,2.3585155,4,1,91218.86,222599.33,72506.51,64883.508,0.994266,0.935161,0.0013125113967934865
3148,-0.13072419,2,1.2658924,1.1294976,1.7899485,1339804.8,2.8036938,1.1294976,0.7717501,3.048524,166802.45,0.0,4.0,4.520901e-08,0.9459123611450195,1.0194319486618042,0.9842789769172668,1.0,294866,2016,199267.05,71249.06,-1.2658924,-0.9240197,45388.945,-1.1351682,-1.6624655,2,41714.88,109177.17,0.7499273,4,2,116638.01,511516.38,178061.52,166802.45,1.0130873,0.95655066,0.001500060254003658
3149,-1.1049825,2,0.61859626,1.3656477,0.41236395,1465358.5,2.4583156,1.3656477,0.7942556,0.6544559,87015.61,0.0,0.0,4.520901e-08,1.0419081449508667,0.977573573589325,0.9633309841156006,1.0,294742,2016,109126.5,79569.336,-0.61859626,0.14008895,71021.99,0.4863862,1.6835213,2,136471.27,108095.52,1.8982017,6,2,150591.33,487092.38,115890.3,108561.6,0.9787652,0.9593463,0.001502570479643536
3150,0.2603496,2,0.72371036,1.5159402,0.66800547,1201224.2,1.5159402,3.2713757,0.6904474,1.5814058,27296.824,2.0,0.0,4.4758735e-08,0.6613661050796509,0.9709368348121643,0.9302618503570557,1.0,295568,2016,211426.47,79803.83,-0.46336076,-2.2951782,27283.662,-0.72371036,1.557683,2,88328.58,61759.438,2.4442294,6,1,107087.49,488183.44,161655.88,131945.45,0.9118148,0.939312,0.0008261025392626693
3151,-0.33831316,3,1.0926576,1.2728074,1.137865,750539.1,2.6332312,1.2728074,0.75770986,0.14593026,40243.73,0.0,3.0,4.4758735e-08,1.0419081449508667,0.9818109273910522,0.9590473175048828,1.0,295654,2016,57597.06,129445.63,0.7543444,1.8474964,40606.883,1.0926576,-2.9329505,-2,102006.28,138275.14,1.5403502,4,1,170052.52,191996.81,80624.586,40243.73,0.9875318,0.9530506,0.0014908834973516609
3152,0.4022665,1,1.0898768,0.6288429,0.98205405,824708.25,1.7411609,2.360445,0.47227666,2.189176,30999.723,0.0,0.0,4.4758735e-08,1.0419081449508667,0.9656599760055542,0.9590473175048828,1.0,295406,2016,152984.05,99241.62,1.0898768,2.4420772,63695.0,0.68761027,0.9305099,-2,113713.75,121054.99,1.5641783,4,1,162936.62,216000.66,105337.48,42646.04,0.9113342,0.9615561,0.0013652913055191697
3153,-0.6496567,3,0.33041307,1.4716474,0.78779507,986044.4,1.9546617,1.4716474,1.1658123,2.4866214,89863.2,0.0,4.0,4.520901e-08,1.109161138534546,0.988225519657135,0.9754972457885742,1.0,294517,2016,87140.61,106123.664,-0.33041307,-1.1252438,26461.012,0.31924364,-2.2015111,2,64639.215,120946.266,1.2571417,4,1,132584.67,282565.75,98015.445,89863.2,0.94037634,0.9396177,0.0015408350803498931
3154,-0.23239148,2,1.2020977,0.31217834,0.5791677,820671.1,3.0982208,0.31217834,1.1871994,2.2544913,38794.668,0.0,0.0,4.4758735e-08,1.1979961395263672,0.9616639018058777,0.9439700841903687,1.0,295502,2016,104560.64,90559.914,-1.2020977,2.162987,84836.27,-0.9697062,-1.8821303,2,159032.14,76742.47,2.250101,5,2,175396.19,246182.47,91961.625,42828.086,0.9500211,0.96681976,0.0016128540184908316
3155,-0.8329296,3,1.6165935,0.6751262,0.49214035,1209851.8,2.9415882,0.6751262,0.93075556,1.3516185,125380.13,0.0,4.0,4.4758735e-08,1.1531940698623657,0.9735305309295654,1.3451591730117798,1.0,297594,2016,37165.45,123966.77,-1.6165935,2.5333679,26724.877,-0.78366387,-1.3204721,-2,118641.31,105198.85,2.5681686,5,2,150691.66,457170.56,159179.05,125380.13,0.9771713,0.93293095,0.0022229269387144318
3156,-0.5422988,0,0.49970052,0.5245137,1.2095064,1027146.5,2.4478893,0.6503029,0.4365019,2.3828092,64394.395,0.0,3.0,4.4758735e-08,1.1305097341537476,1.0716670751571655,0.9439700841903687,1.0,296162,2015,135270.22,85738.11,-0.0425983,0.0834016,69558.27,0.49970052,1.5965674,-2,114183.47,113474.18,1.6074075,7,2,155296.38,395166.03,127915.11,64394.395,0.99464536,0.970473,0.0017824750933820676
3157,0.5010123,3,0.97822213,0.24884944,1.058619,1353401.8,2.6638956,2.1574883,1.0581719,2.0939054,85251.805,0.0,0.0,4.4758735e-08,1.0081357955932617,0.9956554174423218,1.3744101524353027,1.0,296747,2016,5512.664,163705.53,0.97822213,-0.8182914,87520.734,0.47720978,-2.6099262,-2,196480.2,167876.47,1.8603679,5,1,251226.27,449474.72,205106.28,87327.7,0.9779462,0.9658887,0.002104097361547246
